TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
65,04;-2,700215197;10,35539866;1,638225292;10,82632096;0,014018494;-0,010978272;-0,004635088;-22,72905434;71,38986734;12,3877256;3186,340594;0,203497335;11,65953844;0,821287229;47,05629201;-0,298080888;-0,940884568;0,160885096
65,06;-2,753762793;10,45817935;1,67740998;10,9439677;0,013601612;-0,011301702;-0,004560342;-22,80450216;71,66723606;12,43182389;3186,296493;0,203497399;11,6595421;0,821287217;47,05629133;-0,30133597;-0,939798578;0,16116844
65,08;-2,830255085;10,49647463;1,740520624;11,00980179;0,013534201;-0,010882174;-0,004500221;-22,8801194;71,94580973;12,47600221;3186,252311;0,203497463;11,65954577;0,821287206;47,05629065;-0,305611899;-0,938964395;0,157946928
65,1;-2,901661209;10,54899817;1,778892258;11,08446922;0,013214871;-0,010531927;-0,004616915;-22,95673842;72,22369993;12,52075936;3186,20755;0,203497527;11,65954943;0,821287194;47,05628996;-0,310849653;-0,938602197;0,149660982
65,12;-2,872971142;10,56482234;1,727306773;11,08390829;0,012794029;-0,01040444;-0,004696647;-23,0151798;72,43198865;12,55506982;3186,173237;0,203497575;11,65955218;0,821287184;47,05628944;-0,312526487;-0,938084494;0,149414447
65,14;-2,786874056;10,53185364;1,637098732;11,01665559;0,012316574;-0,010386496;-0,00471034;-23,07424777;72,64102999;12,5905135;3186,137791;0,203497623;11,65955493;0,821287175;47,05628891;-0,310683703;-0,937403379;0,157323051
65,16;-2,779763703;10,47847095;1,642236931;10,96459675;0,011742083;-0,010391331;-0,004759518;-23,13253966;72,85069164;12,62513405;3186,103168;0,203497671;11,6595577;0,821287166;47,05628838;-0,308156217;-0,935648342;0,172052103
65,18;-2,845516462;10,53586288;1,677761119;11,04156931;0,0115074;-0,010537034;-0,004756385;-23,19396258;73,06094491;12,65954441;3186,068755;0,203497719;11,65956047;0,821287156;47,05628783;-0,307329791;-0,935201573;0,17591594
65,2;-2,928908274;10,56875418;1,716971533;11,10067835;0,011147583;-0,010671664;-0,00468075;-23,24350027;73,22911467;12,6871739;3186,041123;0,203497758;11,65956268;0,821287149;47,05628739;-0,307904648;-0,93525287;0,174633323
65,22;-2,981113297;10,58356572;1,753537905;11,13435203;0,010658828;-0,010737392;-0,00464629;-23,29294429;73,39730985;12,71477757;3186,013518;0,203497797;11,6595649;0,821287141;47,05628694;-0,308536755;-0,93559433;0,171663392
65,24;-3,010567409;10,59206353;1,753874095;11,15039911;0,010046875;-0,010818264;-0,004588426;-23,34236118;73,5658524;12,74235259;3185,98594;0,203497836;11,65956712;0,821287133;47,0562865;-0,308622637;-0,936094977;0,168755034
65,26;-3,031127715;10,58705563;1,757583891;11,15179731;0,009773877;-0,011171174;-0,004565344;-23,39169083;73,73453271;12,77005183;3185,958239;0,203497874;11,65956934;0,821287125;47,05628606;-0,309114313;-0,936821016;0,163752022
65,28;-3,06404591;10,63724974;1,768802886;11,21017943;0,00927042;-0,011429386;-0,004676066;-23,44205948;73,90547892;12,79785361;3185,930435;0,203497914;11,6595716;0,821287118;47,0562856;-0,311293873;-0,938150023;0,151560746
65,3;-3,068198104;10,66122423;1,801219856;11,23921415;0,008668443;-0,01166372;-0,004704872;-23,52547251;74,18980443;12,84453687;3185,883748;0,203497979;11,65957534;0,821287104;47,05628485;-0,315972219;-0,93935948;0,133286622
65,32;-3,071209995;10,67449103;1,818272962;11,25536344;0,008076395;-0,01186318;-0,004628877;-23,60917718;74,47465387;12,89161667;3185,836665;0,203498045;11,6595791;0,821287091;47,0562841;-0,320419929;-0,940032854;0,116915792
